Experiment,exp_name,species,nfert,ozone,burn,soil,water,heat,Citation,Sample date,Proxy type,Soil depth,Unit,aCO2,eCO2,Description of data source,myc
FACTS II,,Aspen,,ele,,,,,King et al. 2005,2002,fine root biomass,0-25 cm,g/m2,44.6,67.6,table 3,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,2003,fine root biomass,0-25 cm,g/m2,52.5,79.7,table 3,ecm
FACTS II,,Aspen,,ele,,,,,Pregitzer et al. 2008,jul. 2005,fine root biomass,0-25 cm,g/m2,160,187,fig. 2,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,1998,litter fall,N/A,g/m2,34.8,37.7,table 3,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,1999,litter fall,N/A,g/m2,99.5,107.7,table 3,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,2000,litter fall,N/A,g/m2,168.1,196.9,table 3,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,2001,litter fall,N/A,g/m2,194.2,252.6,table 3,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,2002,litter fall,N/A,g/m2,246.3,335.1,table 3,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,2003,litter fall,N/A,g/m2,320.8,428.5,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,1998,fine root biomass,0-25 cm,g/m2,6,8,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,1999,fine root biomass,0-25 cm,g/m2,14,22,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,2000,fine root biomass,0-25 cm,g/m2,20,32,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,2001,fine root biomass,0-25 cm,g/m2,23,38,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,2002,fine root biomass,0-25 cm,g/m2,26,45,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,2003,fine root biomass,0-25 cm,g/m2,31,52,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,Pregitzer et al. 2008,jul. 2005,fine root biomass,0-25 cm,g/m2,100,127,fig. 2,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,1998,litter fall,N/A,g/m2,39,52,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,1999,litter fall,N/A,g/m2,132,188,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,2000,litter fall,N/A,g/m2,209,311,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,2001,litter fall,N/A,g/m2,245,394,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,2002,litter fall,N/A,g/m2,296,497,table 3,ecm
FACTS II,, Aspen/Birch,,amb,,,,,King et al. 2005,2003,litter fall,N/A,g/m2,360,601,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,1998,fine root biomass,0-25 cm,g/m2,4.7,7.4,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,1999,fine root biomass,0-25 cm,g/m2,11.6,18.9,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,2000,fine root biomass,0-25 cm,g/m2,16.9,27.7,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,2001,fine root biomass,0-25 cm,g/m2,19.5,34.2,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,2002,fine root biomass,0-25 cm,g/m2,22.6,39.1,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,2003,fine root biomass,0-25 cm,g/m2,26.6,48,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,Pregitzer et al. 2008,jul. 2005,fine root biomass,0-25 cm,g/m2,107,141,fig. 2,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,1998,litter fall,N/A,g/m2,33,37,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,1999,litter fall,N/A,g/m2,109,130,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,2000,litter fall,N/A,g/m2,180,217,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,2001,litter fall,N/A,g/m2,218,289,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,2002,litter fall,N/A,g/m2,266,346,table 3,ecm
FACTS II,, Aspen/Birch,,ele,,,,,King et al. 2005,2003,litter fall,N/A,g/m2,330,453,table 3,ecm
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,1998,fine root biomass,0-25 cm,g/m2,5.7,7.4,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,1999,fine root biomass,0-25 cm,g/m2,15.7,22.2,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,2000,fine root biomass,0-25 cm,g/m2,23.1,28.5,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,2001,fine root biomass,0-25 cm,g/m2,29.2,37.5,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,2002,fine root biomass,0-25 cm,g/m2,34,43.5,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,2003,fine root biomass,0-25 cm,g/m2,39.1,50,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,Pregitzer et al. 2008,jul. 2005,fine root biomass,0-25 cm,g/m2,143.2,184,fig. 2,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,1998,litter fall,N/A,g/m2,16,24,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,1999,litter fall,N/A,g/m2,65,117,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,2000,litter fall,N/A,g/m2,111,166,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,2001,litter fall,N/A,g/m2,152,244,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,2002,litter fall,N/A,g/m2,188,299,table 3,ecm+am
FACTS II,,Aspen/Mapel,,amb,,,,,King et al. 2005,2003,litter fall,N/A,g/m2,233,365,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,1998,fine root biomass,0-25 cm,g/m2,4.9,7.3,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,1999,fine root biomass,0-25 cm,g/m2,11.8,20.9,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,2000,fine root biomass,0-25 cm,g/m2,18,31.1,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,2001,fine root biomass,0-25 cm,g/m2,22.8,38.9,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,2002,fine root biomass,0-25 cm,g/m2,27.8,45.8,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,2003,fine root biomass,0-25 cm,g/m2,33.2,53.1,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,Pregitzer et al. 2008,jul. 2005,fine root biomass,0-25 cm,g/m2,123,178,fig. 2,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,1998,litter fall,N/A,g/m2,14.4,17.7,table 3,ecm+am
